R,G,B
243,216,3
242,215,2
240,216,4
237,216,3
233,216,4
231,216,3
229,215,4
227,216,4
221,218,1
218,218,0
217,218,2
212,217,1
208,217,4
203,218,5
201,217,5
199,218,5
196,216,3
193,216,4
190,215,2
186,215,3
181,214,3
177,213,3
174,212,3
172,212,4
163,213,4
162,212,3
161,210,4
157,209,3
153,208,3
146,208,3
143,208,4
140,207,3
132,206,5
131,205,4
128,205,5
125,203,5
121,201,4
118,200,4
115,198,4
113,199,4
102,200,3
101,198,3
96,198,1
92,198,2
88,195,1
84,195,2
79,194,2
78,193,2
72,193,2
70,192,3
66,191,1
64,190,2
59,189,3
55,188,3
52,188,2
51,187,3
46,185,4
43,185,3
41,184,4
38,183,4
34,183,3
29,182,3
27,182,3
26,181,2
19,182,5
17,182,4
16,181,3
13,180,4
8,179,3
6,178,4
5,177,3
4,178,5
4,176,4
4,176,2
4,176,2
4,176,2
3,175,3
3,175,5
3,174,8
3,174,10
4,172,14
3,173,14
3,173,15
3,172,19
3,171,22
2,172,24
3,172,27
3,172,29
3,171,32
3,171,34
3,171,36
2,172,40
2,171,44
2,170,48
3,171,50
3,171,52
3,170,56
2,170,57
2,170,59
3,170,64
3,169,69
2,170,74
2,170,75
2,169,77
3,169,83
3,169,85
3,168,89
2,168,92
2,168,96
3,168,99
3,168,99
3,168,99
3,167,104
3,167,106
2,167,107
3,168,110
3,168,112
3,167,116
2,168,118
2,168,118
4,167,120
2,168,120
2,168,122
2,167,125
3,168,128
2,168,130
2,168,132
2,167,133
2,167,137
2,167,137
3,167,140
3,167,143
3,166,145
3,166,147
3,166,149
3,165,150
3,164,156
3,164,158
3,164,159
3,163,161
4,164,164
4,163,166
4,163,166
4,163,167
2,164,169
2,163,171
2,163,171
2,163,173
2,162,176
2,162,178
2,162,178
2,161,180
4,159,179
4,159,179
4,159,181
4,158,182
4,158,184
4,158,186
4,157,188
4,157,189
3,158,189
4,157,189
3,156,190
3,155,192
3,155,196
5,154,197
4,152,198
4,152,200
4,151,203
4,151,203
3,150,204
3,149,206
3,147,208
3,147,210
2,145,211
2,145,213
2,143,215
2,142,217
1,141,218
2,139,219
2,139,220
2,136,223
1,135,224
3,134,224
2,133,224
2,132,226
2,130,227
1,129,228
2,128,230
1,126,232
2,124,233
2,124,233
2,122,235
1,121,234
1,120,236
2,118,237
2,118,239
2,116,240
2,116,241
2,114,240
2,111,242
2,110,244
2,108,243
3,106,243
3,104,244
2,103,245
2,101,244
2,101,244
0,100,246
0,99,245
0,98,247
1,96,248
1,94,249
0,93,250
1,91,250
1,90,252
1,88,253
0,87,252
1,86,254
2,85,253
1,81,252
0,80,253
2,79,255
1,78,254
3,77,252
2,76,251
4,75,253
3,74,252
3,72,253
4,70,252
3,69,253
4,68,253
1,66,252
1,66,252
2,65,254
1,64,253
2,62,254
1,61,253
2,60,255
1,59,254
4,58,254
5,57,254
7,56,254
7,55,253
7,53,252
10,52,252
11,50,251
11,50,251
10,50,244
11,49,244
11,47,243
14,46,242
16,44,241
19,43,239
21,40,238
22,40,236
22,37,240
22,38,239
23,36,236
26,35,234
28,34,232
29,33,229
30,32,228
32,32,228
35,29,227
36,28,225
37,26,224
38,26,222
41,25,220
44,24,219
44,22,218
44,22,218
43,24,212
44,23,212
47,22,212
49,20,209
51,19,208
53,18,206
53,18,206
53,19,204
55,17,201
55,17,201
56,16,200
57,15,200
58,14,197
59,13,197
61,13,195
61,13,195
65,9,192
65,9,192
65,10,191
67,9,191
67,9,189
68,9,189
68,9,187
68,9,187
70,7,182
75,6,183
73,4,181
74,7,182
74,4,180
80,3,179
76,6,180
60,2,172
252,90,88
252,3,1
248,3,0
253,3,4
255,2,0
252,4,5
250,5,2
254,5,3
253,6,1
253,6,1
254,7,2
252,7,2
253,8,3
254,10,2
254,10,2
255,11,3
254,12,1
254,12,1
255,13,2
254,13,2
253,15,2
254,16,3
254,16,3
253,17,3
254,19,2
255,20,1
253,21,1
254,22,2
254,23,3
254,23,3
254,25,2
254,25,2
254,28,4
254,28,3
254,28,3
254,30,4
255,31,3
253,33,1
254,34,2
254,34,2
253,36,3
254,37,2
252,38,2
253,39,3
253,41,3
254,42,2
253,44,3
253,44,3
253,46,4
254,47,3
254,47,3
254,49,2
253,51,3
253,53,2
254,54,3
252,55,3
253,56,3
254,57,2
253,58,2
254,59,1
254,61,2
253,63,1
253,65,2
254,66,3
255,67,3
253,68,3
254,69,2
254,71,3
255,72,2
255,74,3
255,75,1
255,76,2
252,79,2
252,79,2
253,80,3
253,82,2
254,83,3
254,85,2
254,85,2
253,87,3
254,89,0
254,90,1
254,90,1
253,92,1
254,93,2
254,95,3
255,96,4
255,96,4
255,98,1
253,99,1
254,100,2
254,102,1
252,103,1
252,105,2
253,106,3
253,106,3
254,107,3
254,107,3
254,109,4
255,110,3
253,111,3
254,112,2
254,114,3
254,114,3
255,115,2
255,116,3
254,117,1
254,119,2
254,121,2
255,122,3
254,124,2
254,124,2
254,126,1
254,126,1
255,127,2
254,129,3
253,129,3
254,131,2
255,132,3
254,133,3
253,135,3
253,137,2
253,137,2
252,138,3
253,140,2
253,142,1
254,143,2
254,143,2
253,146,4
253,146,4
254,148,4
253,148,4
252,150,3
253,151,4
254,153,3
253,153,3
254,155,0
255,156,0
254,157,0
255,158,1
254,160,0
255,162,0
255,163,0
255,163,0
254,165,0
254,167,0
254,167,0
255,168,1
255,170,2
254,172,2
255,173,3
255,173,3
253,176,0
253,176,0
254,177,1
254,179,0
254,179,0
