R,G,B
254,210,1
255,211,0
255,211,0
254,213,1
254,213,1
254,213,1
255,214,2
255,214,2
255,214,2
255,216,1
255,216,1
255,216,1
255,217,2
253,217,1
253,217,1
251,216,0
249,216,1
245,216,0
243,216,2
241,216,1
241,216,2
233,219,0
232,217,0
231,216,0
229,216,0
225,216,1
221,216,2
217,216,1
216,217,2
211,216,0
210,217,0
207,217,0
203,217,0
197,216,0
193,217,1
191,216,0
189,216,0
184,214,2
181,214,1
178,212,1
174,212,2
169,212,1
166,210,1
162,210,2
161,209,1
153,208,1
150,208,0
148,207,1
143,206,1
138,205,1
134,206,2
132,205,2
130,205,1
120,203,0
119,202,0
115,202,1
110,201,0
107,199,0
102,198,0
98,199,1
97,198,0
89,196,2
88,195,1
83,194,1
79,194,2
74,194,1
71,192,1
67,192,2
66,191,1
60,189,0
59,189,1
55,188,0
52,188,0
48,187,0
43,186,0
41,185,1
39,184,1
35,183,1
32,184,1
26,184,1
25,183,0
25,180,0
24,179,0
20,179,1
15,180,0
13,178,0
11,178,2
9,178,1
6,177,0
4,177,0
3,175,1
2,174,0
2,174,0
1,175,2
1,174,4
1,174,6
1,174,7
1,173,9
1,173,13
1,172,14
1,172,14
1,172,18
1,171,20
1,171,21
1,170,25
0,172,28
0,171,31
0,171,33
0,170,35
1,170,41
1,170,43
0,170,45
0,170,48
1,170,53
1,169,56
0,170,58
0,169,60
0,169,66
0,169,68
1,170,71
0,170,74
1,170,79
1,169,81
2,170,85
1,171,85
0,168,90
0,168,93
1,168,99
1,168,99
1,168,99
1,168,99
1,167,105
2,167,109
1,169,108
1,169,110
1,168,112
0,168,116
0,168,117
0,167,121
0,167,123
0,167,124
1,168,125
1,167,127
1,167,129
1,167,131
0,167,134
0,166,136
0,167,139
0,167,139
0,166,144
0,166,144
0,166,146
0,165,148
0,165,151
0,164,153
0,164,155
0,164,157
0,165,159
0,165,159
0,165,161
0,164,163
0,164,165
0,164,166
0,163,168
0,163,168
0,163,172
0,162,173
0,162,173
0,162,175
0,161,176
0,159,178
0,159,180
0,159,181
0,158,187
0,158,187
0,158,187
0,157,188
0,157,190
0,157,192
0,156,191
0,155,193
0,155,195
1,154,196
1,154,198
0,152,199
0,152,201
1,151,202
0,150,201
0,150,203
0,147,207
1,147,207
1,146,209
0,145,212
1,144,214
1,142,214
1,141,216
0,140,217
0,140,219
0,138,219
1,137,221
0,136,222
0,134,223
0,132,225
1,131,227
0,130,226
1,129,230
0,128,229
1,127,230
0,125,231
1,123,234
0,121,234
0,119,235
0,119,235
0,118,236
0,118,238
0,116,239
0,114,239
0,111,242
0,110,243
1,109,244
0,108,243
0,106,244
0,106,244
1,104,245
0,102,246
0,100,246
0,98,247
1,96,248
1,96,248
1,94,249
0,93,250
2,91,253
1,90,254
1,88,255
0,87,254
0,85,253
0,85,250
0,81,251
0,80,251
0,80,253
0,79,252
0,77,253
1,76,255
0,75,255
0,75,255
0,72,254
0,70,253
0,70,254
0,68,253
0,67,254
0,65,253
0,65,255
0,64,254
2,62,255
1,61,255
2,60,255
1,59,254
1,57,254
2,56,253
3,55,253
2,54,252
4,51,251
4,51,251
5,51,251
7,48,250
9,48,249
9,46,248
10,45,248
12,45,248
12,43,245
14,43,245
15,42,243
17,40,242
18,39,240
20,37,239
21,37,238
23,36,238
25,34,237
26,33,235
27,33,233
28,31,230
31,30,228
31,29,226
34,28,224
34,28,224
37,25,221
38,24,221
40,24,219
41,24,218
44,23,216
44,21,215
46,20,213
46,20,213
49,18,208
49,18,208
50,18,207
52,17,207
52,16,204
54,15,202
55,15,200
55,15,200
57,12,199
57,13,198
58,12,198
60,12,196
61,10,193
63,9,191
64,8,191
66,8,191
66,8,190
67,7,190
67,8,188
68,7,188
69,6,185
70,5,183
72,5,181
73,4,181
71,2,179
76,1,180
70,3,179
78,1,179
79,0,176
75,2,177
77,3,178
61,0,168
251,90,80
254,0,2
254,0,0
253,3,5
255,3,0
255,3,0
255,3,0
253,6,0
253,6,0
254,7,0
254,7,0
255,8,0
255,8,0
254,10,0
255,11,1
255,11,1
255,13,1
255,13,1
255,14,2
255,15,0
254,17,1
255,18,0
255,18,0
254,19,0
253,21,0
253,21,0
254,22,0
254,24,0
255,25,1
254,26,1
255,27,0
255,27,0
255,30,0
255,30,0
255,32,1
255,32,0
254,34,0
254,36,0
254,38,1
254,38,1
255,39,0
254,41,1
254,41,0
254,43,0
255,44,0
254,46,0
255,47,0
255,47,0
255,49,0
255,50,0
255,51,0
254,53,1
255,54,0
255,56,0
254,58,0
254,58,0
255,61,0
255,61,0
255,63,0
255,64,1
255,66,2
255,68,1
253,68,1
254,69,2
254,71,1
255,72,2
254,74,0
255,75,1
254,77,1
254,78,2
255,80,1
253,80,1
254,82,0
254,82,0
254,83,1
255,85,0
255,87,0
255,88,0
255,90,1
255,90,0
254,93,2
254,93,2
255,95,1
254,95,1
255,97,0
255,98,1
255,100,0
255,100,0
255,102,2
255,103,2
255,104,3
255,105,2
255,107,1
255,108,2
255,109,3
255,110,1
255,111,0
255,111,0
255,112,0
255,113,1
255,113,1
255,115,0
255,116,1
254,117,1
255,120,2
255,120,2
255,120,2
255,122,1
254,124,0
254,124,0
255,125,1
254,126,0
253,128,0
254,129,1
254,129,1
254,131,1
255,133,0
255,134,1
255,135,2
255,137,1
254,138,0
254,138,0
255,139,0
254,141,1
255,142,1
255,144,2
255,145,3
255,146,3
255,148,0
255,149,1
255,150,0
255,151,0
254,153,0
255,154,0
255,156,0
255,156,0
255,157,1
255,158,1
255,159,0
255,161,1
255,163,0
254,165,1
255,166,0
255,166,0
255,167,1
255,168,1
255,169,1
255,171,2
255,173,1
255,175,2
255,176,1
254,177,1
255,178,2
255,178,0
255,180,1
255,180,1
255,182,0
255,183,0
254,184,0
255,185,1
255,187,2
255,187,0
254,189,1
255,190,2
254,191,0
255,192,0
254,194,0
254,194,0
255,195,1
255,195,1
254,196,0
255,197,1
255,199,2
255,199,2
254,201,1
254,201,1
255,202,0
255,202,0
255,202,0
255,204,1
255,205,0
254,206,0
255,207,1
255,207,1
254,208,0
254,208,0
254,210,1
254,210,1
255,211,0
255,211,0
254,213,1
254,213,1
255,214,2
255,214,2
255,214,2
255,214,2
255,216,1
255,216,1
255,216,1
255,217,2
253,217,1
253,217,1
251,216,0
249,216,1
245,216,0
243,216,2
241,216,1
241,216,2
233,219,0
232,217,0
231,216,0
229,216,0
225,216,1
221,216,2
217,216,1
216,217,2
211,216,0
210,217,0
207,217,0
203,217,0
197,216,0
193,217,1
191,216,0
189,216,0
184,214,2
181,214,1
178,212,1
174,212,2
169,212,1
166,210,1
162,210,2
161,209,1
153,208,1
150,208,0
148,207,1
143,206,1
138,205,1
134,206,2
131,204,1
130,205,1
120,203,0
119,202,0
115,202,1
110,201,0
106,200,0
102,198,0
98,199,1
97,198,0
89,196,2
86,196,1
83,194,1
79,194,2
74,194,1
71,192,1
67,192,2
65,192,1
60,189,0
59,189,1
55,188,0
52,188,0
48,187,0
43,186,0
41,185,1
39,184,1
35,183,1
32,184,1
26,184,1
25,183,0
25,180,0
24,179,0
20,179,1
15,180,0
13,178,0
11,178,2
9,178,1
6,177,0
4,177,0
3,175,1
2,174,0
2,174,0
1,175,2
1,174,4
1,174,6
1,174,7
1,173,9
1,173,13
1,172,14
1,172,14
1,172,18
1,171,20
1,171,21
1,170,25
0,172,28
0,171,31
0,171,33
0,170,35
1,170,41
1,170,43
0,170,45
0,170,48
1,170,53
1,169,56
0,170,58
0,169,60
0,169,66
0,169,68
1,170,71
0,170,74
1,170,79
1,169,81
2,170,85
1,171,85
0,168,90
0,168,93
1,168,99
1,168,99
1,168,99
1,168,99
2,168,106
2,167,109
1,169,108
1,169,110
1,168,112
0,168,116
0,168,117
0,167,121
0,167,123
0,167,124
1,168,125
1,167,127
1,167,129
1,167,131
0,167,134
0,167,137
0,167,139
0,167,139
0,166,144
0,166,144
0,166,146
0,165,148
0,165,151
0,164,153
0,164,155
0,164,157
0,165,159
0,165,159
0,165,161
0,164,163
0,164,165
0,164,166
0,163,168
0,163,168
0,163,172
0,162,173
0,162,173
0,162,175
0,161,176
0,159,178
0,159,180
0,159,181
0,158,187
0,158,187
0,157,188
0,157,188
0,157,190
0,157,192
0,156,191
0,155,193
0,155,195
1,154,196
1,154,198
0,152,199
0,152,201
1,151,202
0,150,201
0,150,203
0,147,207
1,147,207
1,146,209
0,145,212
1,144,214
1,142,214
1,141,216
0,140,217
0,139,218
0,138,219
1,137,221
0,136,222
0,134,223
0,132,225
1,131,227
0,130,226
1,129,230
0,128,229
1,127,230
0,125,231
1,123,234
0,121,234
0,119,235
0,119,235
0,118,236
0,118,238
0,116,239
0,114,239
0,111,242
0,110,243
0,108,243
0,108,243
0,106,244
0,106,244
1,104,245
0,102,246
0,100,246
0,98,247
1,96,248
1,96,248
1,94,249
0,93,250
2,91,253
1,90,254
1,88,255
0,87,254
0,85,253
0,85,250
0,81,251
0,80,251
0,80,253
0,79,252
0,77,253
1,76,255
0,75,255
0,75,255
0,71,253
0,70,253
0,70,254
0,68,253
0,67,254
0,65,253
0,65,255
0,64,254
2,62,255
1,61,255
2,60,255
1,59,254
1,57,254
2,56,253
3,55,253
2,54,252
4,51,251
4,51,251
5,51,251
7,48,250
9,48,249
9,46,248
10,45,248
12,45,248
12,43,245
14,43,245
15,42,243
17,40,242
18,39,240
20,37,239
21,37,238
23,36,238
25,34,237
26,33,235
27,33,233
28,31,230
31,30,228
31,29,226
34,28,224
34,28,224
37,25,221
38,24,221
40,24,219
41,24,218
44,23,216
44,21,215
46,20,213
46,20,213
49,18,208
49,18,208
50,18,207
52,17,207
52,16,204
54,15,202
55,15,200
55,15,200
57,12,199
57,13,198
58,12,198
60,12,196
61,10,193
63,9,191
64,8,191
66,8,191
66,8,190
67,7,190
67,8,188
68,7,188
69,6,185
70,5,183
72,5,181
73,4,181
71,2,179
76,1,180
70,3,179
78,1,179
79,0,176
74,1,176
77,3,178
61,0,168
255,89,83
254,0,0
251,1,3
255,2,5
255,3,0
253,4,2
253,6,0
255,4,1
253,6,0
254,7,0
254,7,0
255,8,0
253,9,0
254,10,0
255,11,1
255,11,1
255,13,1
255,13,1
255,15,2
255,15,0
254,17,1
255,18,0
254,19,0
254,19,0
254,22,0
254,22,0
255,23,0
254,24,0
255,25,1
255,27,2
255,28,1
255,28,1
255,30,0
254,31,0
255,32,1
255,32,0
254,34,0
254,36,0
255,37,1
255,37,1
254,41,1
254,41,1
255,42,0
255,44,1
254,46,0
255,47,1
255,47,0
255,49,0
255,51,1
255,51,0
254,53,1
255,54,2
255,56,1
254,58,0
254,59,1
254,59,1
255,61,0
255,61,0
255,63,0
255,64,1
255,66,0
255,68,1
254,70,0
254,70,0
255,71,1
254,71,1
255,72,2
255,75,1
254,76,2
254,78,2
255,79,3
255,80,1
254,82,0
254,83,1
254,84,0
254,85,0
255,87,0
254,89,0
255,90,0
255,90,0
254,93,2
254,93,2
254,95,1
254,95,1
254,97,0
255,98,1
254,100,0
254,100,0
254,103,0
255,104,1
255,104,1
254,105,2
254,106,0
254,107,1
255,108,2
254,109,2
255,110,1
255,110,1
254,112,0
255,113,1
254,114,0
255,115,0
254,118,0
254,118,0
255,120,2
255,120,2
255,122,1
255,122,1
254,124,0
255,125,1
255,126,0
254,126,0
254,129,1
254,129,1
254,131,1
255,132,2
255,134,1
255,135,2
254,136,0
255,137,1
254,138,0
254,138,0
253,140,0
254,141,0
254,143,1
255,144,0
255,146,1
255,146,1
254,148,0
255,149,1
254,150,0
255,151,0
254,153,0
255,154,0
255,156,0
255,156,0
255,159,2
254,160,0
255,161,1
255,161,1
255,163,0
254,165,0
255,166,0
255,166,0
255,168,0
254,169,0
255,170,0
254,172,0
255,173,1
254,174,0
255,175,0
255,175,0
253,178,1
254,179,0
254,179,0
254,181,1
255,182,0
254,184,0
255,185,1
255,185,1
255,187,0
253,188,0
254,189,1
255,190,0
254,191,0
253,193,1
254,194,2
254,194,2
254,196,0
254,196,0
255,197,1
254,198,1
255,199,0
255,199,0
255,200,1
255,200,1
255,202,0
254,203,0
254,203,0
255,204,1
254,206,0
253,207,0
253,207,0
254,208,1
255,209,1
255,209,1
254,210,1
255,211,2
255,211,0
255,212,1
254,213,1
254,213,1
255,214,2
255,214,2
255,214,0
254,215,0
254,215,0
255,216,1
255,216,0
253,217,0
252,216,0
251,216,0
250,217,2
247,216,1
245,216,2
241,216,1
240,216,2
239,215,1
232,217,0
232,217,2
231,216,1
229,215,2
225,216,1
221,216,2
217,216,1
216,217,1
211,216,0
209,216,0
206,215,0
202,215,1
200,215,0
196,215,1
194,214,1
191,214,0
184,213,1
183,213,1
179,212,1
176,212,2
171,211,1
166,210,1
162,210,2
160,209,3
152,207,0
150,208,0
147,206,0
142,205,0
138,205,1
133,205,1
130,203,0
129,204,0
123,201,1
118,202,2
113,202,0
110,201,0
108,198,2
105,197,2
100,198,1
95,199,1
90,196,2
87,194,0
82,192,0
79,192,0
76,193,1
73,192,2
68,190,1
64,189,0
59,190,0
58,188,0
55,188,1
51,187,1
46,186,1
42,184,1
40,184,1
38,183,0
33,182,2
30,182,1
28,182,0
26,181,1
22,179,0
18,179,1
16,179,0
15,178,1
14,179,1
11,178,2
9,178,1
5,178,0
3,177,0
2,176,1
1,175,0
2,174,0
1,174,4
1,174,6
1,174,7
1,173,9
1,173,11
1,173,13
1,173,13
1,172,14
1,172,18
1,172,18
1,171,21
1,170,25
0,171,30
0,171,31
0,170,35
0,170,35
0,169,40
0,169,42
0,170,45
0,170,48
0,169,52
1,169,56
0,170,58
0,169,60
0,170,68
0,170,68
0,170,73
0,170,74
0,169,78
0,170,82
0,170,84
0,169,86
1,169,94
1,169,94
1,168,96
1,168,99
0,169,102
0,169,104
0,168,106
0,168,107
1,168,112
1,168,112
1,168,114
0,168,116
0,168,119
0,167,121
0,167,123
0,168,123
1,167,127
1,167,129
1,167,131
1,166,132
0,167,134
0,166,138
0,166,140
0,166,140
0,165,141
0,165,143
0,166,146
0,165,148
0,165,151
0,164,153
0,164,155
0,164,155
0,165,158
0,165,159
0,165,161
0,164,163
0,164,165
0,163,168
0,163,170
0,163,170
0,163,172
0,162,173
0,162,175
0,162,177
0,160,178
0,160,180
0,159,181
0,159,181
0,158,185
0,158,187
0,158,187
0,157,188
0,157,190
0,157,192
0,156,191
0,156,191
0,156,196
1,154,196
1,154,198
1,153,200
0,152,202
0,150,203
0,149,205
0,149,205
0,147,207
0,147,209
1,146,211
0,145,212
1,144,214
0,142,214
1,141,216
0,140,217
0,138,219
1,138,219
0,136,220
0,136,222
0,133,224
1,131,225
1,131,227
1,131,229
1,129,228
0,128,229
1,127,230
0,125,231
1,123,232
0,121,234
1,120,236
0,119,235
1,117,238
1,117,240
0,115,240
0,113,241
0,111,242
1,109,243
0,108,243
1,107,243
2,105,244
1,104,245
1,104,245
1,102,246
0,100,248
0,98,249
0,98,249
1,96,250
1,94,251
0,93,250
0,91,250
0,89,251
0,87,252
0,85,253
0,84,253
1,83,253
0,80,251
0,80,251
0,79,252
1,78,254
0,77,255
0,75,254
0,75,255
1,74,255
1,71,254
1,71,254
0,70,254
0,68,253
1,66,254
1,66,254
0,65,255
1,64,255
2,62,255
1,61,255
2,60,255
2,59,254
3,57,254
2,56,253
3,55,253
2,54,252
4,51,251
5,51,251
7,50,251
7,49,249
9,48,249
10,45,248
12,45,248
12,45,248
14,43,245
15,42,245
16,42,243
18,39,242
20,39,240
21,36,239
23,36,238
24,35,238
26,33,235
26,33,235
29,32,233
30,32,231
32,30,228
33,29,227
34,28,224
35,27,224
39,26,220
39,26,220
40,24,218
41,24,216
44,23,216
44,21,213
46,21,211
46,21,211
48,19,208
48,19,208
49,18,207
52,17,207
52,16,204
54,15,202
55,15,200
56,14,200
58,12,198
58,12,196
60,12,196
60,10,195
61,10,193
63,9,191
64,8,191
64,8,191
66,8,190
67,7,190
67,8,188
68,7,186
69,6,183
70,5,183
72,5,181
73,4,181
73,3,180
71,2,179
72,4,179
75,2,179
77,0,176
79,2,178
73,4,175
63,0,169
255,89,83
254,0,0
251,1,3
255,2,5
255,3,0
253,4,2
253,6,0
255,4,1
253,6,0
254,7,0
254,7,0
255,8,0
253,9,0
254,10,0
255,11,1
255,11,1
255,13,1
255,13,1
255,15,2
255,15,0
254,17,1
255,18,0
254,19,0
254,19,0
254,22,0
254,22,0
255,23,0
254,24,0
255,25,1
255,27,2
255,28,1
255,28,1
255,30,0
254,31,0
255,32,1
255,32,0
254,34,0
254,36,0
255,37,1
255,37,1
254,41,1
254,41,1
255,42,0
255,44,1
254,46,0
255,47,1
255,47,0
255,49,0
255,51,1
255,51,0
254,53,1
255,54,2
255,56,1
254,58,0
254,59,1
254,59,1
255,61,0
255,61,0
255,63,0
255,64,1
255,66,0
255,68,1
254,70,0
254,70,0
255,71,1
254,71,1
255,72,2
255,75,1
254,77,1
254,78,2
255,79,3
255,80,1
254,82,0
254,83,1
254,84,0
254,85,0
255,87,0
254,89,0
255,90,0
255,90,0
254,93,2
254,93,2
254,95,1
254,95,1
254,97,0
255,98,1
254,100,0
254,100,0
254,103,0
255,104,1
255,104,1
254,105,2
254,106,0
254,107,1
255,108,2
254,109,2
255,110,1
255,110,1
254,112,0
255,113,1
254,114,0
255,115,0
254,118,0
254,118,0
255,120,2
255,120,2
255,122,1
255,122,1
254,124,0
255,125,1
255,126,0
254,126,0
254,129,1
254,129,1
254,131,1
255,132,2
255,134,1
255,135,2
254,136,0
255,137,1
254,138,0
254,138,0
253,140,0
254,141,0
254,143,1
255,144,0
255,146,1
255,146,1
254,148,0
255,149,1
254,150,0
255,151,0
254,153,0
255,154,0
255,156,0
255,156,0
255,159,2
254,160,0
255,161,1
255,161,1
255,163,0
254,165,0
255,166,0
255,166,0
255,168,0
254,169,0
255,170,0
254,172,0
255,173,1
254,174,0
255,175,0
255,175,0
253,178,1
254,179,0
254,179,0
254,181,1
255,182,0
254,184,0
255,185,1
255,185,1
255,187,0
253,188,0
254,189,1
255,190,0
254,191,0
253,193,1
254,194,2
254,194,2
254,196,0
254,196,0
255,197,1
254,198,1
255,199,0
255,199,0
255,200,1
255,200,1
255,202,0
254,203,0
255,204,1
255,204,1
254,206,0
253,207,0
254,208,1
254,208,1
255,209,1
255,209,1
254,210,1
255,211,2
255,211,0
255,212,1
254,213,1
254,213,1
255,214,2
255,214,2
255,214,0
254,215,0
254,215,0
255,216,1
255,216,0
253,217,0
252,216,0
251,216,0
249,216,1
247,216,1
245,216,2
241,216,1
240,216,2
239,215,1
232,217,0
232,217,2
231,216,1
229,215,2
225,216,1
221,216,2
217,216,1
216,217,1
211,216,0
209,216,0
206,215,0
202,215,1
199,216,0
195,214,0
193,213,0
191,214,0
184,213,1
183,213,1
179,212,1
176,212,2
169,212,1
165,211,1
162,210,2
160,209,3
152,207,0
150,208,0
145,207,0
142,205,0
138,205,1
133,205,1
130,203,0
129,204,0
123,201,1
118,202,2
113,202,0
110,201,0
108,198,2
105,197,2
100,198,1
95,199,1
90,196,2
87,194,0
82,192,0
79,192,0
76,193,1
72,193,2
68,190,1
64,189,0
59,190,0
58,188,0
55,188,1
51,187,1
46,186,1
42,184,1
40,184,1
38,183,0
33,182,2
30,182,1
28,182,0
26,181,1
22,179,0
18,179,1
16,179,0
15,178,1
14,179,1
11,178,2
9,178,1
5,178,0
3,177,0
2,176,1
1,175,0
2,174,0
1,174,4
1,174,6
1,174,7
1,173,9
1,173,11
1,173,13
1,173,13
1,172,14
1,172,18
1,171,20
1,171,21
1,170,25
0,171,30
0,171,31
0,170,35
0,170,37
0,169,40
0,169,42
0,170,45
0,170,48
0,169,52
1,169,56
0,170,58
0,169,60
0,170,68
0,170,68
0,170,73
0,170,74
0,169,78
0,170,82
0,170,84
0,169,86
1,169,94
1,169,94
1,168,96
1,168,99
0,169,102
0,169,104
0,168,106
0,168,107
1,168,112
1,168,112
1,168,114
0,168,116
0,168,119
0,167,121
0,167,123
0,168,123
1,167,127
1,167,129
1,167,131
1,166,132
0,167,134
0,166,138
0,166,140
0,166,140
0,165,141
0,165,143
0,166,146
0,165,148
0,165,151
0,164,153
0,164,155
0,164,155
0,165,158
0,165,159
0,165,161
0,164,163
0,164,165
0,163,168
0,163,170
0,163,170
0,163,172
0,162,173
0,162,175
0,162,177
0,160,178
0,160,180
0,159,181
0,159,181
0,158,185
0,158,187
0,158,187
0,157,188
0,157,190
0,157,192
0,156,191
0,156,191
0,156,196
1,154,196
1,154,198
1,153,200
0,152,202
0,150,203
0,149,205
0,149,205
0,147,207
0,147,209
1,146,211
0,145,212
1,144,214
0,142,214
1,141,216
0,140,217
0,138,219
1,138,219
0,136,220
0,136,222
0,133,224
1,131,225
1,131,227
1,131,229
0,128,227
0,128,229
1,127,230
0,125,231
1,123,232
0,121,234
1,120,236
0,119,235
1,117,238
1,117,240
0,115,240
0,113,241
0,111,242
1,109,243
0,108,243
1,107,243
1,104,243
1,104,245
1,104,245
1,102,246
0,100,248
0,98,249
0,98,249
1,96,250
1,94,251
0,93,250
0,91,250
0,89,251
0,87,252
0,85,253
0,84,253
1,83,253
0,80,251
0,80,251
0,79,252
1,78,254
0,77,255
0,75,254
0,75,255
1,74,255
1,71,254
1,71,254
0,70,254
0,68,253
1,66,254
1,66,254
0,65,255
1,64,255
2,62,255
1,61,255
2,60,255
2,59,254
3,57,254
2,56,253
3,55,253
2,54,252
4,51,251
5,51,251
7,50,251
7,49,249
9,48,249
10,45,248
12,45,248
12,45,248
14,43,245
15,42,245
16,42,243
18,39,242
20,39,240
21,36,239
23,36,238
24,35,238
26,33,235
26,33,235
29,32,233
29,31,230
32,30,228
33,29,227
34,28,224
35,27,224
39,26,220
39,26,220
40,24,218
41,24,216
43,22,215
44,21,213
46,21,211
46,21,211
48,19,208
48,19,208
49,18,207
52,17,207
52,16,204
54,15,202
55,15,200
56,14,200
58,12,198
58,12,196
60,12,196
60,10,195
61,10,193
63,9,191
64,8,191
64,8,191
66,8,190
67,7,190
67,8,188
67,6,185
69,6,183
70,5,183
72,5,181
73,4,181
73,3,180
71,2,179
72,4,179
75,2,179
77,0,176
79,2,178
73,4,175
63,0,169
255,89,83
254,0,0
251,1,3
255,2,5
255,3,0
253,4,2
253,6,0
255,4,1
253,6,0
254,7,0
254,7,0
255,8,0
253,9,0
254,10,0
255,11,1
255,11,1
255,13,1
255,13,1
255,15,2
255,15,0
254,17,1
255,18,0
254,19,0
255,20,1
254,22,0
254,22,0
255,23,0
254,24,0
255,25,1
255,27,2
255,28,1
255,28,1
255,30,0
254,31,0
255,32,1
255,33,0
254,34,0
254,36,0
255,37,1
255,37,1
254,41,1
254,41,1
255,42,0
255,44,1
254,46,0
255,47,1
255,47,0
255,49,0
255,51,1
255,51,0
254,53,1
255,54,2
255,56,1
254,58,0
254,59,1
254,59,1
255,61,0
255,61,0
255,63,0
255,64,1
255,66,0
255,68,1
254,70,0
254,70,0
255,71,1
254,71,1
255,73,0
255,75,1
254,77,1
254,78,2
255,80,1
255,80,1
254,82,0
254,83,1
254,84,0
254,85,0
255,87,0
254,89,0
255,90,0
255,90,0
254,93,2
254,93,2
254,95,1
254,95,1
254,97,0
255,98,1
254,100,0
254,100,0
254,103,0
255,104,1
255,104,1
254,105,2
254,106,0
254,107,1
255,108,2
254,109,2
255,110,1
255,110,1
254,112,0
255,113,1
254,114,0
255,115,0
254,118,0
254,118,0
255,120,2
255,120,2
255,122,1
255,122,1
254,124,0
255,125,1
255,126,0
254,126,0
254,129,1
254,129,1
254,131,1
255,132,2
255,134,1
255,135,2
254,136,0
255,137,1
254,138,0
254,138,0
253,140,0
254,141,0
254,143,1
255,144,0
255,146,1
255,146,1
254,148,0
255,149,1
254,150,0
255,151,0
254,153,0
255,154,0
255,156,0
255,156,0
255,159,2
254,160,0
255,161,1
255,161,1
255,163,0
254,165,0
255,166,0
255,166,0
255,168,0
255,170,0
255,170,0
254,172,0
255,173,1
254,174,0
255,175,0
255,175,0
253,178,1
254,179,0
254,179,0
254,181,1
255,182,0
254,184,0
255,185,1
255,185,1
255,187,0
253,188,0
254,189,1
255,190,0
254,191,0
253,193,1
254,194,2
254,194,2
254,196,0
254,196,0
255,197,1
254,198,1
255,199,0
255,199,0
255,200,1
255,200,1
255,202,0
254,203,0
255,204,1
255,204,1
254,206,0
253,207,0
254,208,1
254,208,1
255,209,1
255,209,1
254,210,1
255,211,2
255,211,0
255,212,1
254,213,1
254,213,1
255,214,2
255,214,2
255,214,0
254,215,0
254,215,0
255,216,1
255,216,0
253,217,0
252,216,0
251,216,0
249,216,1
247,216,1
245,216,2
241,216,1
239,215,1
239,215,1
232,217,0
232,217,2
231,216,1
229,215,2
225,216,1
221,216,2
217,216,1
215,216,0
211,216,0
209,216,0
206,215,0
202,215,1
199,216,0
194,215,0
191,214,0
190,215,0
184,213,1
182,212,0
179,212,1
176,212,2
169,212,1
165,211,1
162,210,2
160,209,3
150,208,0
150,208,0
145,207,0
141,206,0
138,205,1
133,205,1
129,204,0
129,204,0
122,200,0
118,202,2
111,202,0
109,202,0
107,199,2
104,197,2
99,197,0
95,199,1
90,196,2
87,194,0
82,192,0
79,192,0
76,193,1
72,193,2
68,190,1
64,189,0
59,190,0
58,188,0
54,189,1
51,187,1
46,186,1
42,184,1
40,184,1
38,183,0
33,182,2
30,182,1
28,182,0
26,181,1
22,179,0
18,179,1
16,179,0
15,178,1
13,178,0
11,178,2
9,178,1
5,178,0
3,177,0
2,176,1
1,175,0
2,174,0
1,174,4
1,174,6
1,174,7
1,173,9
1,173,11
1,173,13
1,173,13
1,172,14
1,172,18
1,171,20
1,171,21
1,170,25
0,171,30
0,171,33
0,170,35
0,170,37
0,169,40
0,169,42
0,170,45
0,170,48
1,170,53
1,169,56
0,170,58
0,169,60
0,170,68
0,170,68
0,170,73
0,170,74
0,169,78
0,170,82
0,170,84
0,169,86
1,169,94
1,169,94
1,168,96
1,168,99
0,169,102
0,169,104
0,168,106
0,168,107
1,168,112
1,168,112
1,168,114
0,168,116
0,168,119
0,167,121
0,167,123
0,168,123
1,167,127
1,167,129
1,167,131
1,166,132
0,167,134
0,166,138
0,166,140
0,166,140
0,165,141
0,165,143
0,166,146
0,165,148
0,165,151
0,164,153
0,164,155
0,164,155
0,165,158
0,165,159
0,165,161
0,164,163
0,164,165
0,163,168
0,163,170
0,163,170
0,163,172
0,162,173
0,162,175
0,162,177
0,160,178
0,160,180
0,159,181
0,159,181
0,158,185
0,158,187
0,158,187
0,157,188
0,157,190
0,157,192
0,156,191
0,156,191
0,156,196
1,154,196
1,154,198
1,153,200
0,152,202
0,150,203
0,149,205
0,149,205
0,147,207
0,147,209
1,146,211
0,145,212
1,144,214
0,142,214
1,141,216
0,140,217
0,138,219
1,138,219
0,136,220
0,136,222
0,133,224
1,131,225
1,131,227
1,131,229
0,128,229
0,128,229
0,126,229
0,125,231
1,123,234
0,121,234
1,120,236
0,119,235
1,117,238
1,117,240
0,115,240
0,113,241
0,111,242
1,109,243
0,108,243
1,107,243
1,104,243
1,104,245
0,103,244
1,102,246
0,100,248
0,98,249
0,98,249
1,96,250
1,94,251
0,93,250
0,91,250
0,89,251
0,87,252
0,85,253
0,84,253
1,83,253
0,80,251
0,80,251
0,79,252
1,78,254
0,77,255
0,75,254
0,75,255
1,74,255
1,71,254
1,71,254
0,70,254
0,68,253
1,66,254
1,66,254
0,65,255
1,64,255
2,62,255
1,61,255
2,60,255
2,59,254
3,57,254
2,56,253
3,55,253
2,54,252
4,51,251
5,51,251
7,50,251
7,49,249
9,48,249
10,45,248
12,45,248
12,45,248
14,43,245
15,42,245
16,42,243
18,39,242
20,39,240
21,36,239
23,36,238
24,35,238
26,33,235
26,33,235
29,32,233
29,31,230
32,30,228
33,29,227
34,28,224
